KakaoTalk Chats 자바 프로그래밍 전체톡 (24)
Date Saved : May 28, 2018, 9:46 AM


March 3, 2018, 12:52 AM
March 19, 2018, 10:32 AM, you : 내구도?
March 19, 2018, 10:32 AM, 김기범 : 최대 속도
March 19, 2018, 10:32 AM, 김대교 : 제조년도
March 19, 2018, 10:32 AM, 이현지 : 종류
March 19, 2018, 10:33 AM, 정희석 : 시동
March 19, 2018, 10:33 AM, 김대교 : 방향 틀기
March 19, 2018, 10:33 AM, ㅇ : 멈춤
March 19, 2018, 10:33 AM, Synergy : 돛내리기
March 19, 2018, 10:33 AM, Java_Lov : 동서남북
March 19, 2018, 10:33 AM, you : 닻내리기
March 19, 2018, 10:33 AM, 이현지 : 레이더
March 19, 2018, 10:33 AM, 한정섭 : 오른쪽회전
March 19, 2018, 10:34 AM, ㅇ : 통신
March 19, 2018, 10:34 AM, Java_Lov : 연료확인
March 19, 2018, 10:34 AM, 한정섭 : 앞으로전진
March 19, 2018, 10:34 AM, 이승용 : 후진
March 19, 2018, 10:34 AM, 이승용 : reverse
March 19, 2018, 10:34 AM, you : 위치확인
March 19, 2018, 10:35 AM, Java_Lov : 수심 혹은 장애물 확인
March 19, 2018, 10:56 AM, 정희석 : information hiding과 encapsulation이 무슨 차이인가요?
March 19, 2018, 11:20 AM, 남재창 : 오늘도 수업하느라 고생했어요.
March 19, 2018, 11:21 AM, 남재창 : 혹시 오늘 수업 Lecture Note 편집해줄 사람 있나요? 있으면 메일로 알려주세요.
March 19, 2018, 11:21 AM, 남재창 : https://docs.google.com/spreadsheets/d/1ZIMf65xhJUEjhO4S2eFLSQ3632OPCBuQQj1GlpkHacg/edit#gid=0
March 19, 2018, 11:23 AM, 이상현 : 넵!!

March 21, 2018, 12:06 AM
March 21, 2018, 12:06 AM, 최동현 : 이번주 수요일 저녁맞나요?
March 21, 2018, 12:06 AM, 최동현 : 보강이 이번주 수요일 저녁맞나요? 늦은 저녁에 죄송합니다.
March 21, 2018, 12:17 AM, 21500002 : 넹
March 21, 2018, 12:17 AM, 21500002 : 21일 19:30
March 21, 2018, 7:53 AM, 남재창 : 이따가 저녁에 만나요 :) 오늘은 수업 간단히 실습 길게 하니 랩탑 챙겨와요. 아직까지 이클립스 안돌아가는 사람 없겠죠? 밖에 그런데 눈/비 옴 3월 말에......감기 조심. 
March 21, 2018, 9:14 AM, Synergy : 네 감사합니다!! 조금 있다 뵙겠습니다.
March 21, 2018, 12:21 PM, you : 날씨가 정말... 저녁에 뵈요!
March 21, 2018, 7:27 PM, 남재창 : 날씨가 꽝이죠. 조심히 와요
March 21, 2018, 7:53 PM, ㅇ : y 와 Y가 아니면 실행한다
March 21, 2018, 8:21 PM, Java_Lov : 너무 빨라여....
March 21, 2018, 10:02 PM, 남재창 : 첫번째 숙제 나갔으니, 오늘 참석못한 학생들은 Lab04-HW1-1 슬라이드 구글 드라이브에서 확인해요. 다음주 화요일 아침이 데드라인...
March 21, 2018, 10:02 PM, 남재창 : 혹시 오늘 수업한거 강의노트 정리할 사람 있나요?
March 21, 2018, 10:03 PM, 남재창 : 비바람이 거센데 보강 참석하느라 모두 고생했어요. 내일 아침에 또 만나요 :)
March 21, 2018, 10:16 PM, Java_Lov : (이모티콘)넵! 감사합니다~

March 22, 2018, 9:52 PM
March 22, 2018, 9:52 PM, 한정섭 : https://github.com/puzzlet/constitution-kr/pull/1/files
March 22, 2018, 9:52 PM, 한정섭 : Github으로 보는 헌법개정안이랍니다
March 22, 2018, 9:54 PM, 남재창 : Git을 문서에 적용한 재밌는 예네요 :)

March 24, 2018, 8:21 PM
March 24, 2018, 8:21 PM, 이현지 : 교수님! javadocs는 영어로 작성하고, 각주는 한글로 작성해도 되나요??
March 24, 2018, 8:23 PM, 남재창 : 전부 영어로 해요. 한글로 하면 이클립스에서 문제가 있을 수 있어요.
March 24, 2018, 8:28 PM, 이현지 : 네 감사합니다!!
March 24, 2018, 10:34 PM, 남재창 : 첫번째 숙제 제출할 때, 이클립스 export 기능을 통해 zip파일 만들어야 해요. 그렇게 제출 안하면 감점이에요. 이게 무슨말인지 모르겠으면, Lab04슬라이드 꼼꼼히 잘 읽어봐요.
March 24, 2018, 10:41 PM, 최동현 : 네넵! 감사합니다 교수님~
March 24, 2018, 10:51 PM, 남재창 : 자바독도 반드시 클래스와 메소드 둘 다을 위해 작성해야하고, 한줄 코멘트는 import 문에도 달아야 한다는 것 잊지 말아요. 모든 라인에 한즐 코멘트 빠지지 말고 달아야 해요.

March 26, 2018, 9:38 AM
March 26, 2018, 9:38 AM, 정희석 : 두 세개?
March 26, 2018, 9:38 AM, ㅇ : 3개..?
March 26, 2018, 9:39 AM, you : 5개...?
March 26, 2018, 9:40 AM, 도영 : 5개...?
March 26, 2018, 10:11 AM, 21500002 : cmd창에서 gradle -v 입력하니까 에러 메세지가 뜹니당..
WARNING: An illegal reflective access operation has occurred
March 26, 2018, 10:12 AM, you : 환경변수 추가하셨나용
March 26, 2018, 10:28 AM, 정희석 : calculateRoach
March 26, 2018, 10:28 AM, 한정섭 : Compute
March 26, 2018, 7:53 PM, 남재창 : 숙제1-1,1-2 내일 아침까진데 아직 제출 안한사람 많아요. 잘하고 있는거죠?
March 26, 2018, 8:08 PM, 21500002 : 물논입니다 ^,,^
March 26, 2018, 8:13 PM, 도영 : 

March 27, 2018, 12:14 AM
March 27, 2018, 12:14 AM, 21500002 : 늦은 시간에 죄송합니다
March 27, 2018, 12:14 AM, 남재창 : 무슨일?
March 27, 2018, 12:14 AM, 21500002 : 혹시 System.out.print와 System.out.println 차이가
March 27, 2018, 12:14 AM, 21500002 : 뭔가요?
March 27, 2018, 12:15 AM, 남재창 : println은 엔터가 들어가서 커서가 다음라인으로 넘어가는 거고, prnit는 엔터가 없어요.
March 27, 2018, 12:15 AM, 21500002 : 아하~ 감사합니다!
March 27, 2018, 12:16 AM, 남재창 : 원본 자바독 https://docs.oracle.com/javase/8/docs/api/java/io/PrintStream.html#print-java.lang.String-
March 27, 2018, 1:04 AM, 최동현 : 과제 1-1이 6문제 다 하는거 맞나요?
March 27, 2018, 1:04 AM, 최동현 : 늦은 시간에 죄송합니다..
March 27, 2018, 1:04 AM, 송창우(SCW) : 네!
March 27, 2018, 1:04 AM, 송창우(SCW) : 거기에 자바독이랑 라인마다 코멘트 넣어야 되는걸로 기억합니다
March 27, 2018, 1:05 AM, 최동현 : 네넵 감사합니다~

March 28, 2018, 10:13 PM
March 28, 2018, 10:13 PM, ㅇ : 교수님 How to use git in Eclipse 피피티 11페이지에 나오는 것 처럼 프로젝트 파일은 선택 후 team->index 를 하고 team->commit을 하면 bin파일도 같이 commit이 되어 버립니다. bin파일이 커밋이 되면 안된다고 7페이지에 적혀 있는데 어떻게 해야 하나요?
March 28, 2018, 10:20 PM, 남재창 : 커밋해도 프로그램 짜는데 문제는 없어요. 앞으로 커밋 안하면 되요.
March 28, 2018, 10:21 PM, ㅇ : 알겠습니다. 감사합니다!
March 28, 2018, 10:21 PM, 남재창 : ">"  아이컨 나와도 그냥 커밋하지 마요.
March 28, 2018, 10:22 PM, ㅇ : 넵 알겠습니다!

March 29, 2018, 12:44 PM
March 29, 2018, 12:44 PM, 남재창 : 오늘 수업 노트 정리 해줄 사람….?
March 29, 2018, 12:45 PM, 김기범 : 교수님 혹시 예약안되어있으면 제가 한번 더 해봐도 괜찮을까요??
March 29, 2018, 12:46 PM, 남재창 : 그래요. 최대 2번까지니까 이번이 마지막
March 29, 2018, 12:46 PM, 김기범 : 감사합니다!
March 29, 2018, 12:47 PM, 남재창 : git 이랑 gradle이랑 초기화해서 이클립스에서 commit 보내는 거 아직 많이 헷갈리죠?
March 29, 2018, 12:48 PM, Java_Lov : (이모티콘)네....
March 29, 2018, 12:48 PM, 남재창 : 따라만 하면 되는 슬라이드 좀 있으면 편하겠어요?
March 29, 2018, 12:49 PM, you : 그게 있어도 안되는경우는 왜 안되는지 확인을 해야해서 어렵네요ㅠㅠ
March 29, 2018, 12:50 PM, 이현지 : 그래도 없는것보다는 나을것같아요!
March 29, 2018, 12:50 PM, Java_Lov : 그래도 있는 편이 더 쉬울것 같아요!!
March 29, 2018, 12:50 PM, 남재창 : 나온데로만 하면 되는데 한 번 꼬이면, 처음부터 다시하는게 정신 건강에 이로와요...그럼 자료를 다시 만들어볼게요. 이미 익숙해진 친구들 도움 받아도 되고요.
March 29, 2018, 12:51 PM, 남재창 : 맥이랑 윈도우는 약간 또 다름;;;;
March 29, 2018, 2:30 PM, you : 넹넹 감사합니당:)
March 29, 2018, 3:37 PM, 남재창 : 이것만 따라하면 쉽게 프로젝트 디렉토리 초기화 할 수 있어요.
March 29, 2018, 3:37 PM, 남재창 : https://docs.google.com/presentation/d/1A_ozTjvcMzZM-0P9pXK3Ucyyi-LgYgpunwrZrhwwMHY/edit#slide=id.p
March 29, 2018, 3:38 PM, 남재창 : 지금까지 제가 해본 것 중 제일 쉬운 방법이에요. 차근차근 읽어보고 잘 따라해 봐요. 그래도 어려우면 약속잡고 찾아오거나 TA세션 이용해요.
March 29, 2018, 3:41 PM, 남재창 : 슬라이드 보려면 한동계정으로 로그인해야함.
March 29, 2018, 3:41 PM, 이현지 : 감사합니다~
March 29, 2018, 3:46 PM, 정희석 : 감사합니다~
March 29, 2018, 3:48 PM, Java_Lov : 감사합니다!!
March 29, 2018, 3:48 PM, 남재창 : HW1-3 빨리한 친구들에겐 코멘트 줄 수도 있으니 빨리 하세요.
March 29, 2018, 3:48 PM, Java_Lov : 넵...ㅋㅋㅋㅋㅋ
March 29, 2018, 5:06 PM, 21500002 : 그래들이랑 깃 익숙해지니까 편하네요
데스크탑이랑 랩탑 두개써서 여기저기서 편집할 수 있으니 좋네요
March 29, 2018, 5:06 PM, 21500002 : 감사합니다 교수님 ㅎㅎ
March 29, 2018, 5:13 PM, 남재창 : 오 편리함을 느켜서 다행...왕 보람 느낌 ㅎㅎ다들 나중에 소프트웨어 공학 수업 프로젝트시 협업 할 때 엄청 편함 ㅎㅎ...다른 친구들도 어서 익숙해져서 편하게 코딩해요. 그리고 21500002는 다른 학우들도 좀 도와주고ㅎㅎ :)
March 29, 2018, 5:21 PM, 21500002 : 넵
March 29, 2018, 9:51 PM, 21500002 : 교수님 혹시 JAVADOC이 export는 되는데 index.html을 클릭해서 들어가면 아무것도 써있지 않습니다. 이게 무슨 경우인지.. ㅠㅠ
March 29, 2018, 10:08 PM, 남재창 : javadoc을 잘못 만들어서 그런것 같은데...
March 29, 2018, 10:09 PM, 남재창 : 흔히들 많이 하는 실수는 /** 이거로 시작해야 하는데 /*로 시작한 경우...아니면, 클래스나 메소드 선연 바로 직전에 빈 라인이 하나 있는 경우....
March 29, 2018, 10:10 PM, 남재창 : *선연 —> 선언
March 29, 2018, 10:19 PM, 21500002 : 감사합니다!!
March 29, 2018, 10:20 PM, 21500002 : 클래스 안에다가 자바독을 써놨네욬ㅋ
March 29, 2018, 10:20 PM, 남재창 : 오키 그러면서 배우는거지...;)

March 30, 2018, 1:03 AM
March 30, 2018, 1:03 AM, 최동현 : 오늘까지인 과제 22시까지 맞나요? 늦은시간에 죄송합니다
March 30, 2018, 1:04 AM, 정희석 : 네 오늘 밤10시까지요
March 30, 2018, 9:47 PM, 남재창 : 자바독은 class나 method선언 바로 전에 추가해야 하는데, 부적절한 곳에 추가한 친구가 있습니다. 아직 13분남았으니...수정바람...안그러면 점수 깎일텐데.......
March 30, 2018, 9:52 PM, 송창우(SCW) : /**
* 자바독은
* 자바 개가 아니다
*/
public void java (){

이렇게 놓으먼 문제 없는 거죠?
March 30, 2018, 9:52 PM, 남재창 : Yes
March 30, 2018, 9:53 PM, 남재창 : 아…독…개….ㅎㅎ;;; 앞으로 자바닥이라고 불러야겠....
March 30, 2018, 9:54 PM, 송창우(SCW) : (우와)
March 30, 2018, 9:55 PM, 송창우(SCW) : 말장난을 조금 해봤습니다
March 30, 2018, 10:21 PM, you : 아...
March 30, 2018, 10:21 PM, you : 20분 지났는데 이제 자바독 관련 내용을 봤네요
March 30, 2018, 10:21 PM, you : ㅠㅠㅠ

April 1, 2018, 8:10 PM
April 1, 2018, 8:10 PM, 한정섭 : 교수님 getters setters 도 line by line으로 single comment 달아야 하나요?
April 1, 2018, 8:10 PM, 한정섭 : 그냥 getters and setters 라고 코맨트 달고 자바독 안만들어도 괞찮나요?
April 1, 2018, 8:12 PM, 남재창 : 자바독도 하고, 싱글라인도 달아요. Getter는 리턴하는 라인 있으니까 설명 달아야죠.
April 1, 2018, 8:12 PM, 한정섭 : 네 알겠습니다

April 2, 2018, 9:36 AM
April 2, 2018, 9:36 AM, 도영 : 같은작업을 여러번할때?
April 2, 2018, 9:36 AM, 김기범 : Method 이름을 여려개 생각안해도 될거 같아요
April 2, 2018, 9:36 AM, you : 메소드를 좀더 유연하게 쓸수있다?
April 2, 2018, 9:36 AM, 정희석 : 같은 기능이리도 변수별로 구분할수있다?
April 2, 2018, 9:37 AM, you : 비슷한 유형의 메소드는 굳이 여러번 선언할 필요 없이 기능을 한가지 메소드에 넣을 수도 있을것같아요
April 2, 2018, 10:32 AM, you : GetMaxPerformance?
April 2, 2018, 12:17 PM, 최동현 : 교수님 혹시 자바 export 할때 javadoc: error - cannot read Input length = 1 
April 2, 2018, 12:17 PM, 최동현 : 이게 어떤건가요? ㅠㅠ
April 2, 2018, 12:18 PM, 재호17 : path 경로?에 한글로된 경로가 껴있을때 된다고 알고있어요
April 2, 2018, 12:18 PM, 최동현 : 아아.. 넵 감사합니다!
April 2, 2018, 12:19 PM, 재호17 : T01 5pg 들어가시면 나와있어요
April 2, 2018, 12:39 PM, Java_Lov : 자바 중간고사가 언제인지 말씀 하셨나요??
April 2, 2018, 4:47 PM, 21500002 : 교수님 오늘 출석했는데 결석으로 처리되어있습니다. 확인부탁드려요 ㅠ
April 2, 2018, 4:48 PM, 이상현 : 교수님 저도 오늘 출석햇는데 결석으로 처리되어있습니다. 다시한번 확인부탁드립니다
April 2, 2018, 4:48 PM, 남재창 : 어 그러게 왜 이렇게 됐지? 혹시 태깅했어요?
April 2, 2018, 4:49 PM, 21500002 : 태깅이 안되서 교수님께서 출석부르셧어요
April 2, 2018, 4:49 PM, 이상현 : 아니욥! 교수님께서 출석부르실때 체크했습니다!
April 2, 2018, 4:49 PM, 남재창 : 이상하네. 내 손가락이 삐꾼가...
April 2, 2018, 4:49 PM, 남재창 : 강동인 학생도 출석했죠?
April 2, 2018, 4:49 PM, 21500002 : 넵
April 2, 2018, 4:49 PM, 21500002 : 오랜만에 지각안하고 왔는뎅 ㅠㅠ
April 2, 2018, 4:50 PM, 남재창 : 다 수정했어요. 내 손가락이 잠시 삐꾸였나 보네..미안해요. 출석처리 했어요.
April 2, 2018, 4:50 PM, 이상현 : 아니에요 교수님ㅎㅎㅎ다시한번 확인해주셔서 감사합니다!
April 2, 2018, 4:50 PM, 21500002 : 아니에요 감사합니다!
April 2, 2018, 4:51 PM, 남재창 : 그럼 숙제 열심히 해요 :)
April 2, 2018, 4:52 PM, 21500002 : 넹

April 3, 2018, 11:46 AM
April 3, 2018, 11:46 AM, 김기범 : 교수님 혹시  과제할때  main에서 안쓰는 setter나 getter 메소드도 다 만들어야 할까요?
April 3, 2018, 11:52 AM, 김기범 : 그리고 죄송한데 한 가지 더 여쭤볼게 있습니다. Constructor 써서 한번에 setter을 사용하지 않아도instantiate와 initiate를 다 할 수 있는데 예시 답안에서는 setter을 사용하더라구요, 혹시 setter을 사용해서 하나씩 initiate하는거랑, constructor을 사용해서 한번에 initiate하는거랑 다른점이 있나요??
April 3, 2018, 11:52 AM, 남재창 : 메인이든 어디든 쓰지 않으면 필요없어요. 그런데 만들어보는 연습을 하는 것도 나쁘지는 않을 듯...
April 3, 2018, 11:53 AM, 남재창 : 프로그램 줄수와 줄의 위치가 달라지고, 특별한 차이는 없을 것 같은데...
April 3, 2018, 11:54 AM, 남재창 : 몇 번 문제에요?
April 3, 2018, 11:54 AM, 김기범 : prob 3번 문제입니다.!
April 3, 2018, 11:59 AM, 남재창 : 예시 잡안에서는  setter 를 사용안하는 것 같은데...
April 3, 2018, 11:59 AM, 남재창 : 잡안 >> 답안
April 3, 2018, 12:06 PM, 김기범 : 알겠습니다. 그래도 일단 연습해볼겸 setter 만들어 볼게요 감사합니다.!
April 3, 2018, 12:07 PM, 남재창 : 이클립스 팝업메뉴가면 자동으로 만들어 주니까 어렵지 않을거에요.
April 3, 2018, 12:10 PM, 김기범 : 넵 감사합니다~

April 4, 2018, 9:23 PM
April 4, 2018, 9:23 PM, 송창우(SCW) : <Photo>
April 4, 2018, 9:23 PM, 송창우(SCW) : commit을 하려 할때에 이런 오류메시지가 뜨는데 어떻게 고쳐야 하나요 교수님?
April 4, 2018, 9:24 PM, 남재창 : 커밋할 파일이 있어요?
April 4, 2018, 9:25 PM, 송창우(SCW) : 파일 오른쪽 클릭 -> team -> commit 눌러서 커밋할 파일이 있는걸로 이해하고 있습니다
April 4, 2018, 9:25 PM, 남재창 : >아이콘 나오는게 커밋 대상인데, 노란색 연통 아이컨이 붙어있으면 커밋할게 없다는 말이에요.
April 4, 2018, 9:26 PM, 남재창 : 수정한게 있어서 커밋할 파일이 있어요?
April 4, 2018, 9:27 PM, 송창우(SCW) : 문제3번 코드가 lab07 github repository에 없어서 보낼려고 합니다
April 4, 2018, 9:27 PM, 송창우(SCW) : 근데 모든 .java 파일이 안보내집니다
April 4, 2018, 9:28 PM, 남재창 : 소스에 ?아이컨 나오나?
April 4, 2018, 9:28 PM, 송창우(SCW) : <Photo>
April 4, 2018, 9:28 PM, 송창우(SCW) : 아니요
April 4, 2018, 9:28 PM, 남재창 : 노란 원통형 나오네
April 4, 2018, 9:28 PM, 남재창 : 커밋 다했네...
April 4, 2018, 9:29 PM, 남재창 : 그럼 이제 푸쉬해요. 푸쉬해야 깃허브에 보내져요
April 4, 2018, 9:29 PM, 송창우(SCW) : commit and push 버튼 눌르면 위의 오류 메세지가 뜹니다
April 4, 2018, 9:31 PM, 남재창 : 왜냐면 커밋을 다했는데 또 커밋해서 그런 것임
April 4, 2018, 9:31 PM, 남재창 : 이럴 땐 team >> push to upstream만 하면됨
April 4, 2018, 9:32 PM, 송창우(SCW) : <Photo>
April 4, 2018, 9:32 PM, 송창우(SCW) : 이렇게 말이에요?
April 4, 2018, 9:33 PM, 남재창 : 응 다 했네 푸쉬됐나 깃허브에서 확인해봐요
April 4, 2018, 9:33 PM, 남재창 : 끝 이제
April 4, 2018, 9:34 PM, 송창우(SCW) : 교수님, 계속 교수님께 도움을 구하는것이 죄송하지만
April 4, 2018, 9:35 PM, 송창우(SCW) : <Photo>
April 4, 2018, 9:35 PM, 송창우(SCW) : 방금전에 커밋을 했음에도 1시간전에 커밋을 하였다 하고 3번 코드가 안보입미다
April 4, 2018, 9:36 PM, 한정섭 : 푸쉬를 해야 github repository에 올라가요
April 4, 2018, 9:37 PM, 송창우(SCW) : 교수님께서 말씀하신데로 했습니다
April 4, 2018, 9:38 PM, 한정섭 : 저기서 insights -> network 클릭하면 기록 다 뜨는데 확인해보세요
April 4, 2018, 9:40 PM, 남재창 : 이클립스에 코드가 src 밑에 있잖아오. Src 밑에 디렉토리 들어가면 소스코드 있을거에요.
April 4, 2018, 9:43 PM, 박세은 : <Photo>
April 4, 2018, 9:43 PM, 박세은 : 커밋앤 업을 하려고 하면 계속 에러가 뜹니다ㅠ 혹시 해결 방법을 아는 분 계실까요..?
April 4, 2018, 9:44 PM, 송창우(SCW) : 네크워크 확인해보니 2번문제까지 있습니다
April 4, 2018, 9:48 PM, 송창우(SCW) : 교수님이 말씀하신대로 src확인해보니 1시간전 푸쉬한 2번까지 있고 3번이 없습니다
April 4, 2018, 9:51 PM, 남재창 : 긱허브 디렉토리 안쪽 화면캡쳐해서 보내봐요
April 4, 2018, 9:54 PM, 송창우(SCW) : <Photo>
April 4, 2018, 9:55 PM, 남재창 : Src 밑에 전부
April 4, 2018, 9:55 PM, 남재창 : 정말 prob2만 읷는지 확인할려고
April 4, 2018, 10:03 PM, you : 저거 스테이지안된거면 아예 애드가 안된거 아닌가요?
April 4, 2018, 10:04 PM, you : 늦긴했지만...
April 4, 2018, 10:04 PM, 송창우(SCW) : (흑흑)
April 4, 2018, 10:05 PM, 남재창 : 그런데 아까 노란색 원통 아이컨나왔으니 커밋은 한거잖아요
April 4, 2018, 10:05 PM, 남재창 : 방금 푸쉬도 했고
April 4, 2018, 10:05 PM, 송창우(SCW) : 네 근데 그때
April 4, 2018, 10:05 PM, 송창우(SCW) : IBK기업 : 95000717901017
April 4, 2018, 10:05 PM, 송창우(SCW) : 아니아니
April 4, 2018, 10:05 PM, 송창우(SCW) : <Photo>
April 4, 2018, 10:06 PM, you : 음... 이클립스로 안되면 깃 콘솔로 해보세요
April 4, 2018, 10:08 PM, 남재창 : ㄱ
Reject이 됐네....아마 슬라이드 데로 깃이랑 그레들 초기화 안해서 그렇 것 같은
April 4, 2018, 10:09 PM, 송창우(SCW) : 아...? 2번까지 됐는데 3번이 안보내지는걸 ㅂ
April 4, 2018, 10:09 PM, 남재창 : 소스코드 백업하고 기존 깃 지우고, 새로 프로젝트 만들어서 다시해오ㅓ
April 4, 2018, 10:09 PM, 유정연 : 교수님 git 커널로 conmandline 입력해서 커밋이랑 푸쉬해도 되나요?
April 4, 2018, 10:09 PM, 남재창 : 꼬였어 프로젝트 디렉토리
April 4, 2018, 10:09 PM, 송창우(SCW) : 10시 지났는데 그래도 될까요?
April 4, 2018, 10:10 PM, 남재창 : 그러면 team >> pull먼저하고
April 4, 2018, 10:11 PM, 남재창 : Push 다시해봐요.
April 4, 2018, 10:15 PM, 송창우(SCW) : 이제 된것 같습니다
April 4, 2018, 10:16 PM, 남재창 : 오키 굿
April 4, 2018, 10:16 PM, 송창우(SCW) : 깃이랑 그레들 초기화인가 해야 할것 같네요
April 4, 2018, 10:17 PM, 송창우(SCW) : 자바  9를 첫주에깔았다 10을 깔았다 9를 깔았다 10을 지웠다 9로 맞췄다가 하니 컴퓨터가 소리 지르는것 같습니다
April 4, 2018, 10:17 PM, 송창우(SCW) : 건드리지 말걸....
April 4, 2018, 10:21 PM, 남재창 : 어 왜그랬어...이게 애매한게 최근에 자바 10이 발표가 돼서...
April 4, 2018, 10:21 PM, 송창우(SCW) : 그... 10.0이 실험작 같은건가요?
April 4, 2018, 10:21 PM, 남재창 : 정연, 커맨드라인 쓸 즐 알면 최고지!!
April 4, 2018, 10:22 PM, 남재창 : 정식버전. 이제 자바10시대
April 4, 2018, 10:26 PM, 남재창 : 창우학생 근데 문제 어떻게 해결한거지?
April 4, 2018, 10:27 PM, 송창우(SCW) : 확인해 보니 보내져 있는데 github는 "당신이 1시간전에 prob02를 보냈습니다. 3번이요? 전 안보이는데요?" 이랬습니다...
April 4, 2018, 10:27 PM, 남재창 : 아 이미 푸쉬 된건데 안된줄 알았던 것?
April 4, 2018, 10:27 PM, 송창우(SCW) : 교수님이 말씀하신데로 커밋해서 커밋할게 없었어요
April 4, 2018, 10:27 PM, 송창우(SCW) : 네
April 4, 2018, 10:28 PM, 남재창 : 그러니까...그런데 아까 앞에 reject된건 뭐지>?
April 4, 2018, 10:28 PM, 송창우(SCW) : 모르겠어요
April 4, 2018, 10:28 PM, 송창우(SCW) : 내일 수업끝나고 교수님을 찾아뵈도 될까요?
April 4, 2018, 10:28 PM, 도영 : 교수님.. 자바독을 export할때 javadoc: error - cannot read Input length = 1 라는 오류가 계속뜹니다 ㅠㅠ
April 4, 2018, 10:28 PM, 남재창 : 프로젝트 경로에 한글이 있거나 여백이 있어요?
April 4, 2018, 10:29 PM, 김기범 : 혹시 자바독 Export한 파일도 푸쉬해야하나요??
April 4, 2018, 10:29 PM, 남재창 : 아니면 이클립스 설치한 위치 경로에 한글이 있거나
April 4, 2018, 10:29 PM, 남재창 : 아니 필요없어
April 4, 2018, 10:29 PM, 남재창 : 코드만 커밋하면되..자바독은 우리가 컴파일해서 볼수 있으니...
April 4, 2018, 10:29 PM, 도영 : 혹시 바탕화면이 'Desktop'이 아니라 '바탕 화면'으로 보이는데.. 이것 때문인지
April 4, 2018, 10:30 PM, 남재창 : 바탕화면에 이클립스 있어요?
April 4, 2018, 10:30 PM, 남재창 : 아니면 프로젝트 디렉터리가 바탕화면에?
April 4, 2018, 10:30 PM, 도영 : 네 이클립스 워크스페이스가 바탕화면에 있어요
April 4, 2018, 10:30 PM, 도영 : 네 프로젝트 디렉터리
April 4, 2018, 10:31 PM, 남재창 : 전부 밖으로 꺼내서 해봐요.
April 4, 2018, 10:31 PM, 남재창 : 프로젝트는 c:\git  아래에 넣고.
April 4, 2018, 10:31 PM, 남재창 : 이클립스는 c:\eclipse 에 넣고
April 4, 2018, 10:55 PM, 도영 : 아...디렉터리 바꿨다가 푸쉬 오류 계속떠서 repository 새로 만들었습니다..ㅠㅠ
April 4, 2018, 11:12 PM, 21500002 : Lab07-HW1-4.pptx
April 4, 2018, 11:13 PM, 21500002 : 죄송합니다

April 5, 2018, 9:36 AM
April 5, 2018, 9:36 AM, you : 그래들을 사용하는 의미를 잘 모르겠어요. 깃으로 관리하는데...
April 5, 2018, 9:38 AM, 유정연 : 그 eclipse에서 add to index? 하는 이유좀 다시 설명해주실수 있으신가요>
April 5, 2018, 9:49 AM, 유정연 : 그 gradle한뒤에 src 디렉토리가 src/main/java src/test 2개가 생기는데 둘의 차이점이 있나요?
April 5, 2018, 10:06 AM, 정희석 : 자바는 c처럼 메소드나 클래스 시작할 때 변수 선언 안해줘도 되나요? 중간에 해도 상관없나요
April 5, 2018, 10:24 AM, Java_Lov : 방금 그건 어떻게 하나요?!
April 5, 2018, 10:27 AM, ㅇ : 교수님 그런데 Line을 두개 하면 조금 불안하지 않나요? 실수로 엔터를 두번치면 그냥 넘어가 버리니까요.. 좀 더 안전한 방법은 없나요?
April 5, 2018, 6:05 PM, 정희석 : 교수님 과제할때 슬라이드에 나온대로 변수 선언하고 메소드 선언해야하나요?
April 5, 2018, 6:05 PM, 정희석 : 결과만같다면 조금달라도 상관없나요?
April 5, 2018, 6:06 PM, 남재창 : 결과 같으면 조금달라도 상관없어요.
April 5, 2018, 6:07 PM, 정희석 : 네!

April 9, 2018, 9:40 AM
April 9, 2018, 9:40 AM, ㅇ : binary sort
April 9, 2018, 9:55 AM, ㅇ : 워닝 없애는 방법 다시 한번만 설명해 주실수 있으신가요..?ㅜ
April 9, 2018, 9:56 AM, you : 스캐너 선언한게 메모리 할당된건데 그거를 c로 따지면 free를 안해서 그런것이라네요
April 9, 2018, 9:56 AM, you : 그래서 그 선언된 메소드에서 close를 명시해줘야 이게 메모리를 회수하는거래요
April 9, 2018, 9:57 AM, ㅇ : 아하..! 바로 알겠습니다. 감사합니다!!
April 9, 2018, 9:57 AM, you : ㅎㅎ
April 9, 2018, 10:05 AM, you : 인덱스로 받아오는게 어레이 주소상에 없는값이 되버리는건가요
April 9, 2018, 10:13 AM, you : 아까 그 오류에 대한 질문이에요
April 9, 2018, 10:13 AM, you : 넹넹
April 9, 2018, 10:47 AM, 이상현 : 페이지에있는 소스코드가
April 9, 2018, 10:47 AM, 이상현 : 페이지에 안따라가지네여
April 9, 2018, 10:47 AM, 이승용 : 에러떠요

April 11, 2018, 9:14 PM
April 11, 2018, 9:14 PM, 박세은 : <Photo>
April 11, 2018, 9:14 PM, 박세은 : 교수님 git push 할때 이런 에러가 올라옵니다. 어떻게해야할까요?
April 11, 2018, 9:43 PM, 남재창 : 인터넷 되요?
April 11, 2018, 9:43 PM, 남재창 : 와이파이 연결이 잠시 안됐을 때 나온 에러 같은데...
April 11, 2018, 9:58 PM, 박세은 : <Photo>
